dataset_name,subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram
PhysionetMI,1,4,46,P7,0.09286274,-0.05847711,0.09435733,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,4,47,P5,0.0741116,0.0741116,0.07764331,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,4,48,P3,0.06195913,0.02003759,0.07161786,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,4,49,P1,0.07481513,-0.02883526,0.08025429,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,4,50,Pz,0.01991418,-0.01991418,0.02352265,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,4,51,P2,0.08754919,-0.04623531,0.08907586,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,4,52,P4,0.06351501,0.00228687,0.08042938,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,4,53,P6,0.06416027,-0.06416027,0.07881711,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,4,54,P8,0.1135641,-0.05984809,0.11378527,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,4,55,PO7,0.07346864,-0.00189666,0.0801563,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,4,56,PO3,0.06963448,0.06963448,0.07243098,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,4,57,POz,0.04968823,-0.00529101,0.05196933,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,4,58,PO4,0.08776544,-0.02953451,0.0931756,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,4,59,PO8,0.04759087,0.00555089,0.06583823,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,4,60,O1,0.07842127,-0.07353199,0.09186016,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,4,61,Oz,0.01568495,0.01568495,0.01873812,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,4,62,O2,0.0176375,-0.0176375,0.02383194,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,4,63,Iz,0.03699831,0.00494328,0.04709437,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,0,FC5,0.05398777,0.01579387,0.06322841,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,1,FC3,0.07534032,0.07534032,0.08232906,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,2,FC1,0.05488712,-0.01085492,0.0676394,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,3,FCz,0.06232901,-0.01428651,0.07196245,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,4,FC2,0.06395949,-0.00583184,0.07318375,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,5,FC4,0.05686745,0.02723239,0.05725207,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,6,FC6,0.03725709,0.03640245,0.05301394,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,7,C5,0.07425345,0.07425345,0.07791112,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,8,C3,0.04648526,0.01053876,0.06395879,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,9,C1,0.09426066,0.04194264,0.09488921,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,10,Cz,0.03448404,-0.00911702,0.03765979,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,11,C2,0.0580558,-0.03882527,0.06208555,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,12,C4,0.04947139,-0.04420742,0.05690454,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,13,C6,0.06942289,0.04381878,0.07988006,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,14,CP5,0.0799754,0.03742849,0.08609629,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,15,CP3,0.09290144,0.0215564,0.09572616,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,16,CP1,0.04312689,-0.00058126,0.04424907,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,17,CPz,0.03681294,-0.0224224,0.05074652,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,18,CP2,0.04367702,0.00723713,0.05313179,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,19,CP4,0.01393013,0.00080755,0.01741483,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,20,CP6,0.05348083,-0.04644092,0.06154052,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,21,Fp1,0.05827701,0.01399164,0.06917452,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,22,Fpz,0.06988558,-0.01917736,0.07839371,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,23,Fp2,0.05014285,0.05014285,0.05652099,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,24,AF7,0.06584159,0.03474934,0.07511999,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,25,AF3,0.05563521,0.02611951,0.0640661,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,26,AFz,0.0408384,-0.0408384,0.04916587,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,27,AF4,0.05573281,-0.01401217,0.06125288,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,28,AF8,0.05072279,0.03561575,0.05632422,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,29,F7,0.0422501,0.01561007,0.04502052,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,30,F5,0.07889804,-0.02986492,0.08124606,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,31,F3,0.07913995,0.07913995,0.08819664,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,32,F1,0.06421059,0.03719893,0.07525339,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,33,Fz,0.05463751,0.00222468,0.06489594,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,34,F2,0.07454972,-0.07454972,0.07626948,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,35,F4,0.06024587,0.0098302,0.06989478,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,36,F6,0.04015844,-0.04015844,0.04378325,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,37,F8,0.08669058,0.02890417,0.09162612,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,38,FT7,0.0754962,0.01651085,0.08435941,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,39,FT8,0.08151603,0.07055584,0.08988178,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,40,T7,0.06315532,-0.02833778,0.07087779,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,41,T8,0.09439464,0.01158786,0.09545139,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,42,T9,0.0434443,0.01444713,0.04681759,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,43,T10,0.0745697,0.02710927,0.08219219,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,44,TP7,0.07450075,-0.07450075,0.07964237,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,45,TP8,0.0354858,-0.0163755,0.03918134,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,46,P7,0.09286274,-0.05847711,0.09435733,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,47,P5,0.0741116,0.0741116,0.07764331,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,48,P3,0.06195913,0.02003759,0.07161786,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,49,P1,0.07481513,-0.02883526,0.08025429,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,50,Pz,0.01991418,-0.01991418,0.02352265,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,51,P2,0.08754919,-0.04623531,0.08907586,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,52,P4,0.06351501,0.00228687,0.08042938,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,53,P6,0.06416027,-0.06416027,0.07881711,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,54,P8,0.1135641,-0.05984809,0.11378527,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,55,PO7,0.07346864,-0.00189666,0.0801563,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,56,PO3,0.06963448,0.06963448,0.07243098,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,57,POz,0.04968823,-0.00529101,0.05196933,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,58,PO4,0.08776544,-0.02953451,0.0931756,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,59,PO8,0.04759087,0.00555089,0.06583823,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,60,O1,0.07842127,-0.07353199,0.09186016,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,61,Oz,0.01568495,0.01568495,0.01873812,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,62,O2,0.0176375,-0.0176375,0.02383194,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,1,5,63,Iz,0.03699831,0.00494328,0.04709437,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,0,FC5,0.05398777,0.01579387,0.06322841,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,1,FC3,0.07534032,0.07534032,0.08232906,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,2,FC1,0.05488712,-0.01085492,0.0676394,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,3,FCz,0.06232901,-0.01428651,0.07196245,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,4,FC2,0.06395949,-0.00583184,0.07318375,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,5,FC4,0.05686745,0.02723239,0.05725207,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,6,FC6,0.03725709,0.03640245,0.05301394,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,7,C5,0.07425345,0.07425345,0.07791112,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,8,C3,0.04648526,0.01053876,0.06395879,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,9,C1,0.09426066,0.04194264,0.09488921,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,10,Cz,0.03448404,-0.00911702,0.03765979,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,11,C2,0.0580558,-0.03882527,0.06208555,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,12,C4,0.04947139,-0.04420742,0.05690454,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,13,C6,0.06942289,0.04381878,0.07988006,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,14,CP5,0.0799754,0.03742849,0.08609629,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,15,CP3,0.09290144,0.0215564,0.09572616,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,16,CP1,0.04312689,-0.00058126,0.04424907,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,17,CPz,0.03681294,-0.0224224,0.05074652,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,18,CP2,0.04367702,0.00723713,0.05313179,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,19,CP4,0.01393013,0.00080755,0.01741483,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,20,CP6,0.05348083,-0.04644092,0.06154052,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,21,Fp1,0.05827701,0.01399164,0.06917452,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,22,Fpz,0.06988558,-0.01917736,0.07839371,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,23,Fp2,0.05014285,0.05014285,0.05652099,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,24,AF7,0.06584159,0.03474934,0.07511999,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,25,AF3,0.05563521,0.02611951,0.0640661,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,26,AFz,0.0408384,-0.0408384,0.04916587,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,27,AF4,0.05573281,-0.01401217,0.06125288,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,28,AF8,0.05072279,0.03561575,0.05632422,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,29,F7,0.0422501,0.01561007,0.04502052,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,30,F5,0.07889804,-0.02986492,0.08124606,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,31,F3,0.07913995,0.07913995,0.08819664,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,32,F1,0.06421059,0.03719893,0.07525339,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,33,Fz,0.05463751,0.00222468,0.06489594,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,34,F2,0.07454972,-0.07454972,0.07626948,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,35,F4,0.06024587,0.0098302,0.06989478,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,36,F6,0.04015844,-0.04015844,0.04378325,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,37,F8,0.08669058,0.02890417,0.09162612,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,38,FT7,0.0754962,0.01651085,0.08435941,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,39,FT8,0.08151603,0.07055584,0.08988178,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,40,T7,0.06315532,-0.02833778,0.07087779,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,41,T8,0.09439464,0.01158786,0.09545139,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,42,T9,0.0434443,0.01444713,0.04681759,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,43,T10,0.0745697,0.02710927,0.08219219,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,44,TP7,0.07450075,-0.07450075,0.07964237,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,45,TP8,0.0354858,-0.0163755,0.03918134,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,46,P7,0.09286274,-0.05847711,0.09435733,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,47,P5,0.0741116,0.0741116,0.07764331,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,48,P3,0.06195913,0.02003759,0.07161786,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,49,P1,0.07481513,-0.02883526,0.08025429,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,50,Pz,0.01991418,-0.01991418,0.02352265,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,51,P2,0.08754919,-0.04623531,0.08907586,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,52,P4,0.06351501,0.00228687,0.08042938,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,53,P6,0.06416027,-0.06416027,0.07881711,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,54,P8,0.1135641,-0.05984809,0.11378527,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,55,PO7,0.07346864,-0.00189666,0.0801563,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,56,PO3,0.06963448,0.06963448,0.07243098,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,57,POz,0.04968823,-0.00529101,0.05196933,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,58,PO4,0.08776544,-0.02953451,0.0931756,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,59,PO8,0.04759087,0.00555089,0.06583823,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,60,O1,0.07842127,-0.07353199,0.09186016,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,61,Oz,0.01568495,0.01568495,0.01873812,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,62,O2,0.0176375,-0.0176375,0.02383194,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,1,63,Iz,0.03699831,0.00494328,0.04709437,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,0,FC5,0.05398777,0.01579387,0.06322841,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,1,FC3,0.07534032,0.07534032,0.08232906,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,2,FC1,0.05488712,-0.01085492,0.0676394,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,3,FCz,0.06232901,-0.01428651,0.07196245,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,4,FC2,0.06395949,-0.00583184,0.07318375,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,5,FC4,0.05686745,0.02723239,0.05725207,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,6,FC6,0.03725709,0.03640245,0.05301394,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,7,C5,0.07425345,0.07425345,0.07791112,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,8,C3,0.04648526,0.01053876,0.06395879,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,9,C1,0.09426066,0.04194264,0.09488921,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,10,Cz,0.03448404,-0.00911702,0.03765979,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,11,C2,0.0580558,-0.03882527,0.06208555,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,12,C4,0.04947139,-0.04420742,0.05690454,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,13,C6,0.06942289,0.04381878,0.07988006,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,14,CP5,0.0799754,0.03742849,0.08609629,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,15,CP3,0.09290144,0.0215564,0.09572616,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,16,CP1,0.04312689,-0.00058126,0.04424907,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,17,CPz,0.03681294,-0.0224224,0.05074652,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,18,CP2,0.04367702,0.00723713,0.05313179,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,19,CP4,0.01393013,0.00080755,0.01741483,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,20,CP6,0.05348083,-0.04644092,0.06154052,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,21,Fp1,0.05827701,0.01399164,0.06917452,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,22,Fpz,0.06988558,-0.01917736,0.07839371,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,23,Fp2,0.05014285,0.05014285,0.05652099,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,24,AF7,0.06584159,0.03474934,0.07511999,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,25,AF3,0.05563521,0.02611951,0.0640661,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,26,AFz,0.0408384,-0.0408384,0.04916587,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,27,AF4,0.05573281,-0.01401217,0.06125288,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,28,AF8,0.05072279,0.03561575,0.05632422,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,29,F7,0.0422501,0.01561007,0.04502052,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,30,F5,0.07889804,-0.02986492,0.08124606,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,31,F3,0.07913995,0.07913995,0.08819664,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,32,F1,0.06421059,0.03719893,0.07525339,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,33,Fz,0.05463751,0.00222468,0.06489594,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,34,F2,0.07454972,-0.07454972,0.07626948,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,35,F4,0.06024587,0.0098302,0.06989478,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,36,F6,0.04015844,-0.04015844,0.04378325,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,37,F8,0.08669058,0.02890417,0.09162612,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,38,FT7,0.0754962,0.01651085,0.08435941,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,39,FT8,0.08151603,0.07055584,0.08988178,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,40,T7,0.06315532,-0.02833778,0.07087779,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,41,T8,0.09439464,0.01158786,0.09545139,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,42,T9,0.0434443,0.01444713,0.04681759,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,43,T10,0.0745697,0.02710927,0.08219219,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,44,TP7,0.07450075,-0.07450075,0.07964237,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,45,TP8,0.0354858,-0.0163755,0.03918134,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,46,P7,0.09286274,-0.05847711,0.09435733,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,47,P5,0.0741116,0.0741116,0.07764331,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,48,P3,0.06195913,0.02003759,0.07161786,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,49,P1,0.07481513,-0.02883526,0.08025429,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,50,Pz,0.01991418,-0.01991418,0.02352265,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,51,P2,0.08754919,-0.04623531,0.08907586,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,52,P4,0.06351501,0.00228687,0.08042938,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,53,P6,0.06416027,-0.06416027,0.07881711,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,54,P8,0.1135641,-0.05984809,0.11378527,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,55,PO7,0.07346864,-0.00189666,0.0801563,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,56,PO3,0.06963448,0.06963448,0.07243098,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,57,POz,0.04968823,-0.00529101,0.05196933,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,58,PO4,0.08776544,-0.02953451,0.0931756,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,59,PO8,0.04759087,0.00555089,0.06583823,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,60,O1,0.07842127,-0.07353199,0.09186016,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,61,Oz,0.01568495,0.01568495,0.01873812,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,62,O2,0.0176375,-0.0176375,0.02383194,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,2,63,Iz,0.03699831,0.00494328,0.04709437,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,3,0,FC5,0.05398777,0.01579387,0.06322841,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,3,1,FC3,0.07534032,0.07534032,0.08232906,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,3,2,FC1,0.05488712,-0.01085492,0.0676394,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,3,3,FCz,0.06232901,-0.01428651,0.07196245,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,3,4,FC2,0.06395949,-0.00583184,0.07318375,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,3,5,FC4,0.05686745,0.02723239,0.05725207,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,3,6,FC6,0.03725709,0.03640245,0.05301394,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,3,7,C5,0.07425345,0.07425345,0.07791112,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,3,8,C3,0.04648526,0.01053876,0.06395879,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,3,9,C1,0.09426066,0.04194264,0.09488921,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,3,10,Cz,0.03448404,-0.00911702,0.03765979,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,3,11,C2,0.0580558,-0.03882527,0.06208555,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,3,12,C4,0.04947139,-0.04420742,0.05690454,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,3,13,C6,0.06942289,0.04381878,0.07988006,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,3,14,CP5,0.0799754,0.03742849,0.08609629,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,3,15,CP3,0.09290144,0.0215564,0.09572616,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,3,16,CP1,0.04312689,-0.00058126,0.04424907,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,3,17,CPz,0.03681294,-0.0224224,0.05074652,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,3,18,CP2,0.04367702,0.00723713,0.05313179,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,3,19,CP4,0.01393013,0.00080755,0.01741483,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,3,20,CP6,0.05348083,-0.04644092,0.06154052,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,3,21,Fp1,0.05827701,0.01399164,0.06917452,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,3,22,Fpz,0.06988558,-0.01917736,0.07839371,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,3,23,Fp2,0.05014285,0.05014285,0.05652099,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,3,24,AF7,0.06584159,0.03474934,0.07511999,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,3,25,AF3,0.05563521,0.02611951,0.0640661,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,3,26,AFz,0.0408384,-0.0408384,0.04916587,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,3,27,AF4,0.05573281,-0.01401217,0.06125288,0.5555555555555556,0.5,"[9, 0]"
PhysionetMI,2,3,28,AF8,0.05072279,0.03561575,0.05632422,0.5555555555555556,0.5,"[9, 0]"
